Date,Region,Category,Product,Revenue,Profit,Quantity
2023-01-01,North,Electronics,Laptop,1200.50,300.20,1
2023-01-02,South,Furniture,Chair,150.00,50.00,4
2023-01-03,East,Office Supplies,Pens,25.99,10.50,10
2023-01-04,West,Electronics,Smartphone,800.00,200.00,2
2023-01-05,North,Furniture,Desk,350.00,100.00,1
2023-01-06,South,Electronics,Tablet,450.00,120.00,3
2023-01-07,East,Office Supplies,Paper,45.00,15.50,20
2023-01-08,West,Furniture,Sofa,900.00,250.00,1
2023-01-09,North,Office Supplies,Stapler,15.50,5.20,5
2023-01-10,South,Electronics,Monitor,300.00,80.00,2
2023-01-11,East,Furniture,Table,400.00,110.00,1
2023-01-12,West,Office Supplies,Binders,55.00,18.00,12
2023-01-13,North,Electronics,Laptop,1200.50,300.20,1
2023-01-14,South,Furniture,Chair,150.00,50.00,2
2023-01-15,East,Office Supplies,Pens,25.99,10.50,8
2023-01-16,West,Electronics,Smartphone,800.00,200.00,1
2023-01-17,North,Furniture,Desk,350.00,100.00,1
2023-01-18,South,Electronics,Tablet,450.00,120.00,2
2023-01-19,East,Office Supplies,Paper,45.00,15.50,15
2023-01-20,West,Furniture,Sofa,900.00,250.00,1
2023-01-21,North,Office Supplies,Stapler,15.50,5.20,3
2023-01-22,South,Electronics,Monitor,300.00,80.00,1
2023-01-23,East,Furniture,Table,400.00,110.00,1
2023-01-24,West,Office Supplies,Binders,55.00,18.00,8
2023-01-25,North,Electronics,Laptop,1200.50,300.20,2
